headline,source,intro,date,datetime
Japan raises interest rates for first time in 17 years,BBC,Japan raises interest rates for first time in 17 years. 19 March 2024. Share Save Peter Hoskins & Mariko Oi Business reporters.,19 Mar 2024,2024-03-19
INSTANT VIEW: Bank of Japan ends negative interest rate policy,朝日新聞,INSTANT VIEW: Bank of Japan ends negative interest rate policy ... The Bank of Japan ended eight years of negative interest rates and other remnants of its...,19 Mar 2024,2024-03-19
"Bank of Japan ends the world’s only negative rates regime in a historic move, abandons yield curve control",CNBC Africa,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's only negative rates regime and other unconventional...",19 Mar 2024,2024-03-19
Bank of Japan Ends Negative Interest Rates | Mint,Mint,The global era of minus rates ends as the Japanese central bank rolls back unconventional monetary easing.,19 Mar 2024,2024-03-19
Gold Price in Yen Hits New Record as Bank of Japan Finally Quits Negative Interest Rates,BullionVault,"As the Bank of Japan held deposit rates at or below zero over the last decade, gold prices in JPY rose more than 140% across the 10 years ending 2023.",19 Mar 2024,2024-03-19
Japan raises interest rates for first time since 2007,The Guardian,"In its first interest rate hike in 17 years, the Bank of Japan [BOJ] said it was lifting its short-term policy rate from -0.1% to between zero and 0.1%,...",19 Mar 2024,2024-03-19
"In major shift, BOJ decides it will end negative interest rates",朝日新聞,The Bank of Japan announced March 19 it will end negative interest rates and review other ultra-loose monetary policies that have been in place for more than a...,19 Mar 2024,2024-03-19
"The Bank of Japan ends its negative interest rate policy, opting for its first hike in 17 years",AP News,"The Bank of Japan ends its negative interest rate policy, opting for its first hike in 17 years ... TOKYO (AP) — Japan's central bank raised its benchmark...",19 Mar 2024,2024-03-19
Burghley Capital on Japan’s Interest Rate Pivot,London Daily News,"Burghley Capital sees considerable strategic opportunities emerging in Japan's evolving financial environment, particularly within equity markets and currency...",19 Mar 2024,2024-03-19
"Bank of Japan ends its negative interest rate policy, first hike in 17 yrs",Business Standard,"Japan's central bank raised its benchmark interest rate Tuesday for the first time in 17 years, ending a longstanding policy of negative rates meant to...",19 Mar 2024,2024-03-19
BOJ introduces first rate hike in 17 years following pay gains,The Japan Times,"The negative rates policy, the last one in the world, had been a symbol of the Bank of Japan's ultraloose monetary stimulus lasting over a decade.",19 Mar 2024,2024-03-19
Negative-interest-rate era is over. Was it the ‘dumbest idea’ in economic history?,MarketWatch,The long experiment with negative interest rates is over — at least for now. The Bank of Japan on Tuesday pushed its official interest rate back up to at least...,19 Mar 2024,2024-03-19
BoJ ends negative interest rate policy,Central Banking,"The Bank of Japan raised rates for the first time in 17 years today (March 19), ending the negative rate policy it introduced in 2016.",19 Mar 2024,2024-03-19
Bank of Japan hikes interest rates for first time in 17 years,Fox Business,The BOJ set the overnight call rate as its new policy rate and decided to guide it in a range of 0-0.1% partly by paying 0.1% interest to deposits at the...,19 Mar 2024,2024-03-19
"BOJ ends negative rates, leaves questions over policy direction",Nikkei Asia,"The Bank of Japan on Tuesday conducted a sweeping policy overhaul, scrapping its negative interest rate policy as it bets that Asia's second-largest economy is...",19 Mar 2024,2024-03-19
Global Era of Negative Interest Rates Ends as Japan Goes to Zero,The Wall Street Journal,"The world's nearly 12-year experiment with negative interest rates is over now that the last holdout, the Bank of Japan, has moved its key policy rate back to...",19 Mar 2024,2024-03-19
Bank of Japan brings era of negative rates to a close,Investment Week,"Interest rates shifted into negative territory in 2016 in an attempt to encourage banks to lend more, continuing a near decade-long trend of cutting rates,...",19 Mar 2024,2024-03-19
Japan ETFs Can Withstand Stronger Yen,ETF Trends,Tuesday is expected to be the day the Bank of Japan ends its negative interest rate policy while ceding control of the country's yield curve.,19 Mar 2024,2024-03-19
Japan’s central bank hikes rates for first time since 2007,South China Morning Post,"But on Tuesday, following months of speculation, the BOJ finally changed its policy rate range from -0.1 per cent to between zero and 0.1 per cent, in its first...",19 Mar 2024,2024-03-19
Why Japan’s economy remains a warning to others,The Economist,"For most of this century it has looked as if the world's economy was turning Japanese, with low growth, below-target inflation and rock-bottom interest...",19 Mar 2024,2024-03-19
How the Bank of Japan’s Interest Rate Hike Could Impact US Investors,Investopedia,"The Bank of Japan removed negative interest rates Tuesday, which could signal potential pressure on US Treasurys.",19 Mar 2024,2024-03-19
Bank of Japan scraps negative interest rate in first hike in 17 years,Al Jazeera,Japan's central bank has scrapped its negative interest rate as it finally begins unwinding one of the world's most aggressive monetary easing programmes. The...,19 Mar 2024,2024-03-19
Japan Ends Negative Rate Policy as Deflation Fears Subside,Statista,Japan has officially ended its negative interest rate policy eight years after cutting its short-term policy rate to -0.1 percent in February 2016.,19 Mar 2024,2024-03-19
Japan raises interest rates for first time in 17 years,Daily News – Tanzania,JAPAN: Japan's central bank has raised the cost of borrowing for the first time in 17 years. The Bank of the Japan (BOJ) increased its key interest rate...,19 Mar 2024,2024-03-19
"With Japan's latest move, the era of negative interest rates is over",Axios,"Japan ended its negative interest rate policy Tuesday, the last nation to exit from once-unthinkable strategies meant to address an economy trapped by sluggish...",19 Mar 2024,2024-03-19
Bank of Japan finally ends negative interest rate policy,Hürriyet Daily News,TOKYO ... Japan's central bank on March 19 scrapped its negative interest rate as it finally began unwinding one of the world's most aggressive monetary easing...,19 Mar 2024,2024-03-19
Bank of Japan ends era of negative interest rates for the first time in 17 years in a historic shift,"YouTube
 · CNBC International Live","CNBC's Kaori Enjoji outlines the Bank of Japan's exit strategy after its ""monumental decision"" to scrap its negative interest rate policy, hiking rates for...",19 Mar 2024,2024-03-19
Japan Poised to End Negative Interests After 8 Years | Vantage with Palki Sharma,"YouTube
 · Firstpost",Japan Poised to End Negative Interests After 8 Years | Vantage with Palki Sharma Japan's central bank is poised to end its negative interest regime after...,18 Mar 2024,2024-03-18
Banks clash with UK government on criminal-linked funds; Goldman predicts first Japan interest rate hike since 2007,TheBanker.com,"As reported by the Financial Times, the proposed “suspended accounts scheme”, to be introduced as part of the Criminal Justice Bill, would enable banks to...",18 Mar 2024,2024-03-18
Japanese Bank Starts Training Staff on Positive Interest Rates,LeapRate,"As Japan edges away from nearly a decade of negative interest rates, the Bank of Kyoto, a regional financial institution, has initiated a digital learning...",18 Mar 2024,2024-03-18
Japan to Exit Negative Interest Rates as BoJ Prepares Major Policy Shift,investingLive,"Coming up from the Bank of Japan today is their expected decision to exit negative interest rate policy, after eight years. There is no set time for the...",18 Mar 2024,2024-03-18
Bank of Japan ends era of negative interest rates,Financial Times,"Following a 7-2 majority vote, the BoJ said it would guide the overnight interest rate to remain in a range of about zero to 0.1 per cent, making it the last...",18 Mar 2024,2024-03-18
Japan Raises Interest Rates for First Time in 17 Years (Published 2024),The New York Times,"Even after Tuesday's move, interest rates in Japan are far lower than those in the world's other major developed economies. The Bank of Japan's target policy...",18 Mar 2024,2024-03-18
‘What time is the Bank of Japan decision?’ is actually a very good question,MarketWatch,The Bank of Japan may end its eight-year stretch of negative interest rates on Tuesday. But precisely what time it will is a very good question and not just...,18 Mar 2024,2024-03-18
How to Invest in Japan as the BOJ Hikes Interest Rates,Bloomberg,"To drill down on specific sectors of the Japan equity market, BlackRock's iShares MSCI Japan Small-Cap ETF (SCJ) invests in companies with a smaller market...",18 Mar 2024,2024-03-18
"Bank of Japan ends the world's only negative rates regime in a historic move, abandons yield curve control",CNBC,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's only negative rates regime.",18 Mar 2024,2024-03-18
What the End of Japan’s Negative Interest Rates Means,Bloomberg.com,The BOJ was the last central bank to retain a negative rate policy. Its prolonged use cut into banks' profitability and helped push down the value of the yen as...,18 Mar 2024,2024-03-18
Will the Bank of Japan finally raise interest rates?,Financial Times,"The policy meeting comes after large Japanese companies agreed to increase wages by 5.28 per cent during this spring's pay negotiations, the biggest increase...",17 Mar 2024,2024-03-17
"BOJ to end negative rates, marking 1st hike in 17 years",Nikkei Asia,"TOKYO -- The Bank of Japan is expected to end its negative interest rates when its policy board meets on Monday and Tuesday, Nikkei has learned, marki.",16 Mar 2024,2024-03-16
Japan’s interest rate derivatives trading and clearing on the rise,Risk.net,"The Osaka Exchange (OSE), part of JPX, is a premier venue for listed interest rate derivatives trading in Japan, featuring flagship products.",14 Mar 2024,2024-03-14
These Will Be the Winners and Losers When Bank of Japan Ditches Negative Rates,Bloomberg.com,The Bank of Japan's steady march toward raising interest rates for the first time since 2007 begs the question of who will win and who will lose after years...,13 Mar 2024,2024-03-13
BlueBay’s Biggest Macro Bet Is Shorting Japan Government Bonds,Bloomberg,RBC BlueBay Asset Management has made selling Japanese government bonds a top wager on expectations the central bank is likely to raise interest rates next...,12 Mar 2024,2024-03-12
"Japan’s Daishi Hokuetsu Bank faces weak profits, high interest rate risks: Moody’s",Asian Banking & Finance,"Japan's Daishi Hokuetsu Bank faces weak profits, high interest rate risks: Moody's. Its problem loan ratio deteriorated to 2.23% in a three-year period. Daishi...",11 Mar 2024,2024-03-11
World’s Last Negative Rate Experiment Nears Its End in Japan,Bloomberg,"The Bank of Japan is widely expected to scrap the world's last negative interest rate in the coming weeks, marking the closing act of global central banks'...",10 Mar 2024,2024-03-10
How high will borrowing costs go once Bank of Japan ditches negative rates?,Financial Times,Policymakers at the Bank of Japan are tackling a series of thorny policy debates as they confront the practicalities of raising interest rates for the first...,10 Mar 2024,2024-03-10
Why and How Poverty in Japan is Concealed,The Borgen Project,"Modern Japanese poverty is often attributed to the “Lost Decade,” a period from 1991 to 2001 caused by a heightened Bank of Japan interest rate.",28 Feb 2024,2024-02-28
The Bank of Japan’s Year of Living Dangerously,The Diplomat – Asia-Pacific Current Affairs Magazine,Global investors are convinced 2024 will be the year the Bank of Japan (BOJ) finally “normalizes” policy and hikes interest rates above zero.,20 Feb 2024,2024-02-20
What would a green dual interest rate environment look like?,Green Central Banking,The European Central Bank (ECB) has been resisting calls for a dual interest rate for green lending but the tide could be turning after French president...,15 Feb 2024,2024-02-15
Japan slipped into a technical recession. The Bank of Japan has to juggle supporting the yen and fragile growth,CNBC,"Japan's central bank is expected to exit its negative interest rate regime this spring, though sluggish growth will limit its ability to alleviate depreciation...",15 Feb 2024,2024-02-15
Japan’s economy contracts for second straight quarter on weak demand,Financial Times,Negative GDP growth piles pressure on Bank of Japan as it plans exit from negative rates.,14 Feb 2024,2024-02-14
Japan real estate loses shine with foreign investors,Nikkei Asia,"TOKYO -- Speculation of a Japanese interest rate hike is discouraging foreign funds and businesses from investing in the country's real estate, bringi.",6 Feb 2024,2024-02-06
Bank of Japan grows more confident about imminent exit from negative rates,Financial Times,Officials in the Bank of Japan have grown increasingly confident that the economy is robust enough to attempt an imminent exit from the world's remaining...,3 Feb 2024,2024-02-03
'Golden opportunity': BOJ signals rate hike ahead with ramped-up exit talk,The Japan Times,The Bank of Japan's summary of last week's meeting signals it is moving closer to raising its interest rate for the first time since 2007.,31 Jan 2024,2024-01-31
The Once Feared Strong Yen Is Now in Japan’s National Interest: A 50 Year History of the Floating Exchange Rate Regime,nippon.com,The present year marks the fiftieth year since a floating rate regime was adopted for the Japanese yen. The “lost decades” since the collapse of an asset...,30 Jan 2024,2024-01-30
What makes Japan’s economy the odd man out?,Marketplace.org,"In an effort to stimulate a sluggish economy, the government got creative and started applying negative interest rates.",26 Jan 2024,2024-01-26
FIGURE 4: Yield curve -Japan government bonds' interest rates (average...,ResearchGate,"Download scientific diagram | Yield curve -Japan government bonds' interest rates (average in Dec 2015, June 2016 and Dec 2016) from publication: Japan's...",20 Jan 2024,2024-01-20
"Japan economic outlook, January 2024",Deloitte,"With inflation weighing down consumer spending and wages, Japan's economic recovery has hit a few roadblocks.",17 Jan 2024,2024-01-17
Japan Post Bank announces 1st time deposit rate hike in 16 years,ARAB NEWS,Japan Post Bank has said it will raise its five-year deposit rate from the current 0.002 percent to 0.070 percent on Monday.,13 Jan 2024,2024-01-13
OECD urges Japan’s central bank to gradually raise interest rates,The Fiji Times,"Tokyo (Reuters) -The Bank of Japan should gradually raise short-term interest rates and make its bond yield control policy more flexible, if inflation stays...",12 Jan 2024,2024-01-12
Inflation and its demons define Japan’s precarious 2023,East Asia Forum,"In 2023, Japan's economy experienced inflation, exchange rate fluctuations and contentious policies implemented by Kishida's government and the Bank of Japan.",4 Jan 2024,2024-01-04
A force for good: Japan’s private equity opportunity,McKinsey & Company,"Japanese private equity is a growing presence in the financial landscape, and private equity firms can help Japanese companies fulfill their potential.",4 Jan 2024,2024-01-04
Japan's quest for economic and political stability in 2024,East Asia Forum,"For the past quarter of a century Japan has enjoyed stability. Perhaps too much stability: for more than two decades, prices, wages and interest rates have...",1 Jan 2024,2024-01-01
Odds of early rate rise increase as inflation becomes the fight in Japan,The Japan Times,"Sticky inflation might convince the Bank of Japan to lean hawkish and increase rates earlier than expected. “An important factor is food inflation,” said...",28 Feb 2025,2025-02-28
Bank of Japan will raise rates twice more in 2025,Financial Times,The “virtuous cycle” between price and wage increases looks to be well under way in Japan. Given strong recent inflation and wage data and continued yen...,27 Feb 2025,2025-02-27
Will China’s economy follow the same path as Japan’s?,Bruegel,"Since the 2021 bursting of its real-estate bubble, worries have grown that China's future economic trajectory will mirror that of Japan in the 1990s.",27 Feb 2025,2025-02-27
"Japan's top currency diplomat sees no disparity between yen rise, solid economy",Reuters,"Japan's top currency diplomat, Atsushi Mimura, said on Wednesday he did not see any disparity between recent rises in the yen and a slew of positive economic...",26 Feb 2025,2025-02-26
What the return of interest rates means for Japan,Nikko Asset Management,"We assess the impact the return of interest rates could have on the country's households, firms and government.",26 Feb 2025,2025-02-26
Japan economic news: Japan inflation rate climbed to 4%,Markets.com,"Japan's inflation rate has surged to 4%, marking a significant increase and raising concerns among policymakers and investors alike.",23 Feb 2025,2025-02-23
Japanese Banks Raising Savings Account Interest Rates; Financial Institutions Seek New Ways to Lure Clients,The Japan News,Japanese banks are now raising the interest rates on their savings accounts in an increasingly heated competition for business.,23 Feb 2025,2025-02-23
Yen Strengthens Against the Dollar as U.S. Economic Concerns Weigh on Markets; Interest Rate Cut Expectations Drive Investors to Sell Dollars and Buy Yen,The Japan News,NEW YORK — The New York market saw a stronger yen and declining stock prices on Friday due to concerns over the future of the U.S. economy.,22 Feb 2025,2025-02-22
"Japan’s inflation speeds up, keeping BOJ on rate hike path",The Japan Times,"Japan's inflation accelerated more than expected on higher food prices, rising at the fastest pace since the middle of 2023 and keeping the Bank of Japan on...",21 Feb 2025,2025-02-21
"BOJ could raise interest rates in March, says ex-policymaker Shirai",Reuters,The Bank of Japan may raise interest rates in March if U.S. President Donald Trump pushes through on his tariff threats and adds to already mounting...,21 Feb 2025,2025-02-21
Bank Of Japan Signals Flexibility In Interest Rate Strategy,Finimize,The central bank's earlier decision to increase short-term rates to 0.5% and its tapering forecast—hitting 3 trillion yen monthly by 2026—are pivotal. Analysts...,21 Feb 2025,2025-02-21
"Exclusive: Almost 90% of Japanese companies see Trump as bad for business, Reuters survey shows",Reuters,Summary; Companies. Some 86% of firms see Trump's policies as harmful to business environment - Reuters Japan Corporate Survey; Respondents see Trump...,20 Feb 2025,2025-02-20
Investors eye Japan bank stocks amid expectations of BOJ rate hike,Mettis Global,Japanese bank shares have become highly popular with investors betting on rising Bank of Japan interest rates as uncertainty over the central bank's plans.,20 Feb 2025,2025-02-20
Yen hits 2-month high in 149 zone vs. dollar on BOJ rate hike bets,Kyodo News Plus,"The yen strengthens to around a two-month high against the U.S. dollar in the 149 zone in Tokyo, amid rising speculation that the Bank of Japan could raise...",20 Feb 2025,2025-02-20
Japan's long rates hit 15-year high as domestic inflation kicks in,Nikkei Asia,"Interest rates in Japan are climbing, reaching a roughly 15-year high on Tuesday, as rising inflation heightens expectations for another rate hike by the Bank...",19 Feb 2025,2025-02-19
Japan’s key long-term rate hits 15-year high,Inquirer.net,"The yield on the newest issue of 10-year Japanese government bonds, regarded as the country's key long-term interest rate, rose to a 15-year high.",18 Feb 2025,2025-02-18
"Japan’s Economic Growth Outpaces Expectations, Boosts Interest Rate Prospects",kaohoon international,"The gross domestic product (GDP) for October-December increased by an annualized rate of 2.8%, surpassing the 1.0% growth forecasted in a Reuters poll.",17 Feb 2025,2025-02-17
Japan’s economy expands for third straight quarter,Financial Times,Growth buoyed by stronger corporate spending despite onset of interest rate rises.,16 Feb 2025,2025-02-16
BoJ Eyes Rate Hike As 2025 Unfolds,Finimize,"Japan is gearing up for a possible interest rate hike later in 2025, as the Bank of Japan (BoJ) assesses economic forecasts and wage discussions.",13 Feb 2025,2025-02-13
"Japan's wholesale inflation jumps, reinforcing BOJ rate-hike bets",Reuters,The data highlighted persistent price pressures and reinforced market bets of another interest rate hike this year.,12 Feb 2025,2025-02-12
"Most economists expect BOJ to hike rates in latter half of 2025, survey shows",Reuters,"Most economists expect the Bank of Japan to raise short-term interest rates again in the latter half of this year, a monthly survey on economists conducted...",12 Feb 2025,2025-02-12
"Japan’s Producer Price Gains Quicken, Keeping BOJ on Hike Path",Bloomberg.com,"The pace of gains in Japan's corporate goods prices accelerated last month to the fastest clip in 19 months, keeping the Bank of Japan on track for further...",12 Feb 2025,2025-02-12
BOJ governor says higher food prices in Japan may alter inflation expectations,Reuters,Bank of Japan Governor Kazuo Ueda said on Wednesday the central bank will conduct monetary policy bearing in mind there are risks that food prices may...,11 Feb 2025,2025-02-11
Japan's government debt climbs to record ¥1.32 quadrillion,The Japan Times,"The combined balance of Japanese government bonds, borrowings and financing bills swelled by ¥7.2 trillion from the end of September 2024.",10 Feb 2025,2025-02-10
Japan’s borrowing costs soar to 14-year high,Financial Times,"Japan's borrowing costs have soared to a 14-year high as rising interest rates, sustained inflation and a potential wave of wage increases this spring fuel a...",8 Feb 2025,2025-02-08
VOX POPULI: Adjusting to the new normal: A world with interest rates,朝日新聞,Will the future be bright or dim for the “world with interest rates” that is said to be taking shape now? After scrapping its negative interest rate policy...,7 Feb 2025,2025-02-07
"Asia-Pacific markets mixed as investors assess India rate cut, Japan spending data",NBC New York,The Reserve Bank of India cut its key interest rate for the first time in nearly five years.,6 Feb 2025,2025-02-06
IMF warns Japan of spillovers from rising foreign market volatility,Reuters,Japan should be on alert for any spillover effects from rising foreign market volatility that could affect liquidity conditions for its financial...,6 Feb 2025,2025-02-06
More rate hikes discussed at BOJ meeting after increase to 17-yr high,Kyodo News Plus,"The need for further interest rate hikes was discussed at the most recent Bank of Japan monetary policy meeting, with a board member pointing to the...",3 Feb 2025,2025-02-03
How Negative Interest Rates Work,Investopedia,"The idea of negative interest rates may seem counterintuitive, if not downright crazy. In a world where lenders make money by charging their customers...",3 Feb 2025,2025-02-03
Monetary Policy Adjustment in Japan: Bank of Japan Raises Interest Rates to 17-Year High Amid Inflation Pressures,Modern Ghana,"The Bank of Japan (BOJ) raised its short-term policy rate to approximately 0.5%, marking its highest level in 17 years, since the 2008 global financial crisis.",1 Feb 2025,2025-02-01
Bank of Japan could face capital losses if interest rate rise to 1%: Nomura,"YouTube
 · CNBC International Live",Nomura's Rob Subbaraman discusses expectations of Bank of Japan's rate hike path including two major risks if the central bank hikes too fast or too far.,31 Jan 2025,2025-01-31
"Japan’s Underlying Inflation Still Slightly Below Target, BOJ Governor Says",The Wall Street Journal,Ueda reaffirmed that the central bank will keep raising interest rates if the economy and prices develop in line with its outlook.,31 Jan 2025,2025-01-31
Japan sees debt-service costs jumping 25% by 2028 as BOJ hikes,The Japan Times,The latest projection underscores the growing financial strain Japan will likely face amid anticipated additional rate hikes by the central bank.,30 Jan 2025,2025-01-30
Sumitomo Mitsui profit beats estimates as rate hikes bolster earnings,The Japan Times,"Sumitomo Mitsui Financial Group's profit rose more than analysts estimated in the fiscal third quarter, as the Bank of Japan's interest rate hikes put it on...",30 Jan 2025,2025-01-30
Japan’s government interest costs to swell more than 50% in next few years,The Business Times,"JAPAN'S annual interest payments on government debt could surge more than 50 per cent over the next few years, government estimates showed on Thursday (Jan...",30 Jan 2025,2025-01-30
Could the Bank of Japan Continue to Tighten in 2025? | Presented by CME Group,"YouTube
 · Bloomberg Television","A sequence of rate hikes, beginning in March 2024, has lifted Japan's key interest rate to its highest level since 2008, and ended the eight years of...",29 Jan 2025,2025-01-29
BoJ Interest Rate Hikes Should Not Disrupt Economic Recovery,JAPAN Forward,"BoJ has raised interest rates to their highest level in 17 years. Hopefully, the bank's implementation of policies will be detailed and prudent.",29 Jan 2025,2025-01-29
Japan begins feeling the pain of BOJ rate hikes more concretely,The Japan Times,"Japan is feeling the impact from higher interest rates on a more personal level, according to an analysis of social media activity.",29 Jan 2025,2025-01-29
BOJ watchers think next interest rate hike will be in six months,The Japan Times,"Some 56% of 45 BOJ watchers expect the next hike to come in July, according to the poll conducted Monday, following the central bank's decision Friday to bring...",28 Jan 2025,2025-01-28
Bank of Japan raises interest rates to 0.5%,Portfolio Adviser,"Bank of Japan raises interest rates to 0.5% ... Cherry blossoms at Chidorigafuchi park in Tokyo, Japan. ... The Bank of Japan (BoJ) has hiked interest rates to 0.5%...",27 Jan 2025,2025-01-27
Japan ready to join ‘global club of normalised monetary policy’,Fund Selector Asia,"The Bank of Japan hiked interest rates to their highest level in 17 years on Friday, but investors reckon the outlook for equities is benign.",27 Jan 2025,2025-01-27
Japan Raises Interest Rates To 17-Year High – Reactions,Wealth Briefing,"The Bank of Japan (BoJ) increased short-term interest rates to 0.5 per cent, elevating its policy rate to the highest level since 2008.",27 Jan 2025,2025-01-27
Bank of Japan Raises Key Interest Rate to 0.5% | Governor Ueda's Economic Outlook | News9,"YouTube
 · NEWS9 Live","The Bank of Japan has raised its key interest rate to 0.5% from 0.25%. Bank of Japan Governor Kazuo Ueda, speaking after a two-day policy meeting,...",27 Jan 2025,2025-01-27
Bank of Japan Hikes Rates To Highest Since 2008,Realty Plus Magazine,the Bank of Japan (BOJ) has raised its benchmark interest rate by 25 basis points—marking the first time rates have reached this level since the global...,26 Jan 2025,2025-01-26
Charting the global economy: Bank of Japan raises interest rates,The Economic Times,"The Bank of Japan raised its key policy rate to 0.5%, the highest since 2008, signaling stronger inflation. The rate hike reflects the central bank's confidence...",26 Jan 2025,2025-01-26
BOJ rate hikes add $50 to Japan's average monthly mortgage payment,Nikkei Asia,"TOKYO -- The Bank of Japan's two most recent interest rate hikes add roughly 8000 yen ($51) to the average monthly mortgage payment in the country, N.",25 Jan 2025,2025-01-25
Charting the Global Economy: Bank of Japan Raises Interest Rates,Bloomberg.com,BOJ Governor Kazuo Ueda and his fellow board members lifted the overnight call rate by a quarter-percentage point to 0.5% at the end of a two-day meeting. A...,25 Jan 2025,2025-01-25
Central bank appears poised to break through 0.5% rate barrier this year,The Japan Times,"The Bank of Japan is on course to raise rates past the 0.5% barrier, unbroken for almost 30 years, if policymakers become confident that the country will...",25 Jan 2025,2025-01-25
Japan hikes interest rates to 17-year high | East Asia Tonight (Jan 24),"YouTube
 · CNA","Also on East Asia Tonight, China emphasises no winners in trade war as Trump says would 'rather not' impose tariffs; Japan PM Shigeru Ishiba stresses...",24 Jan 2025,2025-01-24
"There's still room for the Bank of Japan to hike rates, says strategist","YouTube
 · CNBC International Live","Masahiko Loo, senior fixed income strategist at State Street Global Advisors, says there could be an interest rate hike in September.",24 Jan 2025,2025-01-24
Economist on Bank of Japan raising interest rates to highest in 17 years,"YouTube
 · CNA",The Bank of Japan (BOJ) raised interest rates on Friday (Jan 24) to their highest since the 2008 global financial crisis and revised up its inflation...,24 Jan 2025,2025-01-24
BOJ raises interest rates to highest in 17 years | REUTERS,"YouTube
 · Reuters",The Bank of Japan raised interest rates to their highest since the 2008 global financial crisis and revised up its inflation forecasts underscoring its...,24 Jan 2025,2025-01-24
Japan's central bank hikes interest rates 25 bps to a 17-year-high; Yen surges 0.7% against US dollar,Mint,The Bank of Japan's decision to increase the interest rates to 0.5 per cent indicates that the Japanese economy is developing according to the expectations...,24 Jan 2025,2025-01-24
"Bank Of Japan Hikes Interest Rate To 17-Year High, Signals More",Channels Television,The Bank of Japan hiked interest rates on Friday to their highest level in 17 years and signalled more were in the pipeline despite fears of turmoil under US...,24 Jan 2025,2025-01-24
Bank of Japan raises interest rates to highest level since 2008 at 0.5%,Business Standard,"Bank of Japan Interest Rate Hike today, January 24: The hike is part of the BOJ's plan to gradually increase rates to a neutral level of around 1% to...",24 Jan 2025,2025-01-24
Bank of Japan Rate Hike Fails To Rattle Crypto Markets Like the Last Time,CCN.com,"BoJ raises interest rates amid rising inflation and wage growth, while Trump's pro-crypto executive order counters potential market fallout.",24 Jan 2025,2025-01-24
Asia Sees Trump in a Surprising Way—as a Steady Pair of Hands,The Wall Street Journal,"Bank of Japan goes through with planned rate increase, saying president is acting within expectations.",24 Jan 2025,2025-01-24
"Bank of Japan raises interest rate to about 0.5%, citing higher wages, inflation",Mint,"The Bank of Japan raised its key interest rate to about 0.5% from 0.25% Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025,2025-01-24
Japan raises interest rates to highest level since 2008,NewsBytes,The Bank of Japan (BOJ) has raised its short-term policy rate by a 25 basis points to 0.5%. This is the first rate hike since July 2024 and the highest level...,24 Jan 2025,2025-01-24
Japan raises interest rates to highest level since 2008,NewsBytes,The Bank of Japan (BOJ) has raised its short-term policy rate by a 25 basis points to 0.5%. This is the first rate hike since July 2024 and the highest level...,24 Jan 2025,2025-01-24
Bank of Japan hikes interest rates by 25bp as markets focus on timing of next hike,ING Think,"The BoJ upgraded its inflation outlook to above 2% throughout the forecast period. The BoJ's rate hike itself was already fully priced into the market, so it...",24 Jan 2025,2025-01-24
"Bank of Japan Decides to Raise Interest Rate to 0.5%; Wage Increase Prospects, Market Trends Drive Decision (UPDATE 2)",The Japan News,"Bank of Japan Decides to Raise Interest Rate to 0.5%; Wage Increase Prospects, Market Trends Drive Decision (UPDATE 2). Post · Share · Post. REUTERS file photo",24 Jan 2025,2025-01-24
Japan raises interest rates to highest level in 17 years,CNN,"At its two-day meeting concluding on Friday, the BOJ raised its short-term policy rate from 0.25% to 0.5%, a level Japan has not seen in 17 years. It was made...",24 Jan 2025,2025-01-24
Bank of Japan raises interest rates to 17-year high,The Times,"The Bank of Japan (BoJ) raised the cost of borrowing in the world's fourth largest economy to about 0.5 per cent from 0.25 per cent, the highest point since the...",24 Jan 2025,2025-01-24
"Bank of Japan raises interest rates to highest in 17 years, yen jumps",CNA,The Bank of Japan raised interest rates on Friday (Jan 24) to their highest since the 2008 global financial crisis and revised up its inflation forecasts.,24 Jan 2025,2025-01-24
"Bank of Japan raises interest rates, shrugging off Trump risks",Axios,"The Bank of Japan had held off hiking rates late last year, preferring instead to wait out any economic surprises from the White House.",24 Jan 2025,2025-01-24
Japanese Yen strengthens as interest rate reaches highest level since 2008,FXStreet,"The USD/JPY pair declined to 155.13 on Friday, as the yen gained robust support following the Bank of Japan's (BoJ) decision to raise its interest rate...",24 Jan 2025,2025-01-24
"Bank of Japan Hikes Interest Rate to 0.5%, Highest in 17 Years",News Central TV,"Bank of Japan Hikes Interest Rate to 0.5%, Highest in 17 Years ... The Bank of Japan (BoJ) raised its key short-term interest rate by 25 basis points to 0.5% on...",24 Jan 2025,2025-01-24
"Japan Hikes Rates, Solidifying Exit From Rock-Bottom Borrowing Costs",Bloomberg,The Bank of Japan raised its key policy rate Friday to the highest level since 2008 and took a more bullish view on the strength of inflation.,24 Jan 2025,2025-01-24
Donald Trump demands lower interest rates & Japan lifts rates to highest since 2008.,SBS Australia,Donald Trump demands lower interest rates & Japan lifts rates to highest since 2008. Play. 13:11. SBS On the Money. Follow and Subscribe. Follow and Subscribe.,24 Jan 2025,2025-01-24
Bank of Japan will continue to normalise policy slowly,Financial Times,The Bank of Japan decided to raise interest rates a quarter point at its January meeting to 0.5 per cent. This took monetary policy to its tightest level in...,24 Jan 2025,2025-01-24
Bank of Japan expected to hike interest rate,The Standard (HK),"The BoJ is expected to raise its benchmark lending rate by 25 points to 0.50 percent, the highest since 2008, when the BoJ cut its rate from 0.75 percent during...",24 Jan 2025,2025-01-24
