headline,source,intro,date
Japan Ends Era of Negative Rates With Few Clues on Further Hikes,Bloomberg,"The Bank of Japan scrapped the world's last negative interest rate, ending the most aggressive monetary stimulus program in modern history,...",19 Mar 2024
Bank of Japan’s historic shift will boost local lenders,Financial Times,Moving interest rates closer to the central bank's 2% inflation target could take much longer than expected.,19 Mar 2024
"Nikkei 225 ends above 40,000 after Bank of Japan raises interest rates for the first time in 17 years",CNBC,"The Bank of Japan officially ended its negative interest rate policy, hiking rates for the first time in 17 years to 0% to 0.1% from -0.1% . The bank also...",19 Mar 2024
"Bank of Japan scraps radical policy, makes first rate hike in 17 years",The Star,"TOKYO: The Bank of Japan (BOJ) ended eight years of negative interest rates and other remnants of its unorthodox policy on Tuesday, making a historic shift...",19 Mar 2024
The Bank of Japan just made a historic rate pivot. Here's what could happen next,CNBC,Japan's central bank on Tuesday finally ended its experiment with negative rates and unconventional easing tools which were aimed at reflating the world's...,19 Mar 2024
Flash Insights: Bank of Japan—A “watchful” adjustment,Beyond Bulls & Bears,The Bank of Japan raised interest rates for the first time since 2007. Franklin Templeton Fixed Income's Rini Sen weighs in.,19 Mar 2024
Bank of Japan ends negative interest rates; Close Brothers prepares for motor finance probe with £400mn capital plan,TheBanker.com,"Bank of Japan ends negative interest rates; Close Brothers prepares for motor finance probe with £400mn capital plan ... In a historic move, the Bank of Japan has...",19 Mar 2024
Japan brings era of negative interest rates to an end with first hike in 17 years,CNN,"The Bank of Japan (BOJ) raised interest rates for the first time in 17 years, lifting its short-term rate to “around zero to 0.1%” from minus 0.1%.",19 Mar 2024
The Bank of Japan (BOJ) abolished its negative interest rate policy at a financial policy-making mee..,매일경제,The Bank of Japan (BOJ) abolished its negative interest rate policy at a financial policy-making meeting on the 19th and started raising interest rates for...,19 Mar 2024
Bank of Japan shifts interest rates out of negative territory,Pensions & Investments,"Bank of Japan shifts interest rates out of negative territory ... The Bank of Japan's move to raise interest rates for the first time since 2007, while largely...",19 Mar 2024
"Bank of Japan ends negative interest rate policy, opting for first hike in 17 years",Euronews.com,Japan's central bank has decided to end its era of negative interest rates following signs that the country's decades-long deflation is coming to an end.,19 Mar 2024
Opinion | Japan Ends the Negative Rate Mistake,The Wall Street Journal,What goes down must come up in the wild world of Japan's economy. So it is that the Bank of Japan on Tuesday finally announced an exit from the...,19 Mar 2024
Japan ends the world’s greatest monetary-policy experiment,The Economist,"For the first time in 17 years, officials raise interest rates | Finance & economics.",19 Mar 2024
The Carry Trade Has Been a Winner. Why the Bank of Japan Is Giving It a Handicap.,Barron's,The Bank of Japan's decision to raise interest rates for the first time in 17 years could have a big impact on a popular way for investment bankers to make...,19 Mar 2024
Japan raises interest rates for first time in 17 years,BBC,Japan raises interest rates for first time in 17 years. 19 March 2024. Share Save Peter Hoskins & Mariko Oi Business reporters.,19 Mar 2024
INSTANT VIEW: Bank of Japan ends negative interest rate policy,朝日新聞,INSTANT VIEW: Bank of Japan ends negative interest rate policy ... The Bank of Japan ended eight years of negative interest rates and other remnants of its...,19 Mar 2024
"Bank of Japan ends the world’s only negative rates regime in a historic move, abandons yield curve control",CNBC Africa,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's only negative rates regime and other unconventional...",19 Mar 2024
Gold Price in Yen Hits New Record as Bank of Japan Finally Quits Negative Interest Rates,BullionVault,"As the Bank of Japan held deposit rates at or below zero over the last decade, gold prices in JPY rose more than 140% across the 10 years ending 2023.",19 Mar 2024
Japan raises interest rates for first time since 2007,The Guardian,"In its first interest rate hike in 17 years, the Bank of Japan [BOJ] said it was lifting its short-term policy rate from -0.1% to between zero and 0.1%,...",19 Mar 2024
"In major shift, BOJ decides it will end negative interest rates",朝日新聞,The Bank of Japan announced March 19 it will end negative interest rates and review other ultra-loose monetary policies that have been in place for more than a...,19 Mar 2024
"The Bank of Japan ends its negative interest rate policy, opting for its first hike in 17 years",AP News,"The Bank of Japan ends its negative interest rate policy, opting for its first hike in 17 years ... TOKYO (AP) — Japan's central bank raised its benchmark...",19 Mar 2024
"Bank of Japan ends negative rates, farewells era of radical policy",RNZ,"The Bank of Japan has ended eight years of negative interest rates and other remnants of its unorthodox policy, making a historic shift away from a focus of...",19 Mar 2024
"Bank of Japan ends its negative interest rate policy, first hike in 17 yrs",Business Standard,"Japan's central bank raised its benchmark interest rate Tuesday for the first time in 17 years, ending a longstanding policy of negative rates meant to...",19 Mar 2024
BOJ introduces first rate hike in 17 years following pay gains,The Japan Times,"The negative rates policy, the last one in the world, had been a symbol of the Bank of Japan's ultraloose monetary stimulus lasting over a decade.",19 Mar 2024
Negative-interest-rate era is over. Was it the ‘dumbest idea’ in economic history?,MarketWatch,The long experiment with negative interest rates is over — at least for now. The Bank of Japan on Tuesday pushed its official interest rate back up to at least...,19 Mar 2024
Japan ends era of negative rates with few clues on further hikes,The Business Times,"THE Bank of Japan (BOJ) scrapped the world's last negative interest rate, ending the most aggressive monetary stimulus programme in modern history,...",19 Mar 2024
BoJ ends negative interest rate policy,Central Banking,"The Bank of Japan raised rates for the first time in 17 years today (March 19), ending the negative rate policy it introduced in 2016.",19 Mar 2024
Bank of Japan hikes interest rates for first time in 17 years,Fox Business,The BOJ set the overnight call rate as its new policy rate and decided to guide it in a range of 0-0.1% partly by paying 0.1% interest to deposits at the...,19 Mar 2024
"BOJ ends negative rates, leaves questions over policy direction",Nikkei Asia,"The Bank of Japan on Tuesday conducted a sweeping policy overhaul, scrapping its negative interest rate policy as it bets that Asia's second-largest economy is...",19 Mar 2024
Global Era of Negative Interest Rates Ends as Japan Goes to Zero,The Wall Street Journal,"The world's nearly 12-year experiment with negative interest rates is over now that the last holdout, the Bank of Japan, has moved its key policy rate back to...",19 Mar 2024
Bank of Japan brings era of negative rates to a close,Investment Week,"Interest rates shifted into negative territory in 2016 in an attempt to encourage banks to lend more, continuing a near decade-long trend of cutting rates,...",19 Mar 2024
Japan’s central bank hikes rates for first time since 2007,South China Morning Post,"But on Tuesday, following months of speculation, the BOJ finally changed its policy rate range from -0.1 per cent to between zero and 0.1 per cent, in its first...",19 Mar 2024
Why Japan’s economy remains a warning to others,The Economist,"For most of this century it has looked as if the world's economy was turning Japanese, with low growth, below-target inflation and rock-bottom interest...",19 Mar 2024
How the Bank of Japan’s Interest Rate Hike Could Impact US Investors,Investopedia,"The Bank of Japan removed negative interest rates Tuesday, which could signal potential pressure on US Treasurys.",19 Mar 2024
Japan’s central bank ends years-long negative interest rate policy,The Nation Newspaper,"The Japanese central bank has on Tuesday decided to end its years-long negative interest rate policy. Following a two-day meeting, the Bank of Japan (BoJ)...",19 Mar 2024
Bank of Japan scraps negative interest rate in first hike in 17 years,Al Jazeera,Japan's central bank has scrapped its negative interest rate as it finally begins unwinding one of the world's most aggressive monetary easing programmes. The...,19 Mar 2024
Bank of Japan ends negative interest rates in historic policy overhaul,Xinhua,The Bank of Japan (BOJ) on Tuesday decided to end its negative interest rate policy in its first rate hike in 17 years.,19 Mar 2024
Japan Ends Negative Rate Policy as Deflation Fears Subside,Statista,Japan has officially ended its negative interest rate policy eight years after cutting its short-term policy rate to -0.1 percent in February 2016.,19 Mar 2024
Japan raises interest rates for first time in 17 years,Daily News – Tanzania,JAPAN: Japan's central bank has raised the cost of borrowing for the first time in 17 years. The Bank of the Japan (BOJ) increased its key interest rate...,19 Mar 2024
"With Japan's latest move, the era of negative interest rates is over",Axios,"Japan ended its negative interest rate policy Tuesday, the last nation to exit from once-unthinkable strategies meant to address an economy trapped by sluggish...",19 Mar 2024
Bank of Japan finally ends negative interest rate policy,Hürriyet Daily News,TOKYO ... Japan's central bank on March 19 scrapped its negative interest rate as it finally began unwinding one of the world's most aggressive monetary easing...,19 Mar 2024
Bank of Japan ends era of negative interest rates for the first time in 17 years in a historic shift,"YouTube
 · CNBC International Live","CNBC's Kaori Enjoji outlines the Bank of Japan's exit strategy after its ""monumental decision"" to scrap its negative interest rate policy, hiking rates for...",19 Mar 2024
Japan Poised to End Negative Interests After 8 Years | Vantage with Palki Sharma,"YouTube
 · Firstpost",Japan Poised to End Negative Interests After 8 Years | Vantage with Palki Sharma Japan's central bank is poised to end its negative interest regime after...,18 Mar 2024
"Bank of Japan ends the world's only negative rates regime in a historic move, abandons yield curve control",NBC New York,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's only negative rates regime on early signs of robust...",18 Mar 2024
Japanese Bank Starts Training Staff on Positive Interest Rates,LeapRate,"As Japan edges away from nearly a decade of negative interest rates, the Bank of Kyoto, a regional financial institution, has initiated a digital learning...",18 Mar 2024
Bank of Japan ends era of negative interest rates,Financial Times,"Following a 7-2 majority vote, the BoJ said it would guide the overnight interest rate to remain in a range of about zero to 0.1 per cent, making it the last...",18 Mar 2024
Bank of Japan ends the world's only negative rates regime in a historic move,NBC News,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's last negative rates regime.",18 Mar 2024
Japan Raises Interest Rates for First Time in 17 Years (Published 2024),The New York Times,Accelerating wage growth is a crucial sign for policymakers that the economy is strong enough to generate some inflation and is able to withstand higher...,18 Mar 2024
‘What time is the Bank of Japan decision?’ is actually a very good question,MarketWatch,The Bank of Japan may end its eight-year stretch of negative interest rates on Tuesday. But precisely what time it will is a very good question and not just...,18 Mar 2024
How to Invest in Japan as the BOJ Hikes Interest Rates,Bloomberg,"To drill down on specific sectors of the Japan equity market, BlackRock's iShares MSCI Japan Small-Cap ETF (SCJ) invests in companies with a smaller market...",18 Mar 2024
"Bank of Japan ends the world's only negative rates regime in a historic move, abandons yield curve control",CNBC,"Japan's central bank raised interest rates on Tuesday for the first time since 2007, ending the world's only negative rates regime.",18 Mar 2024
What the End of Japan’s Negative Interest Rates Means,Bloomberg,The BOJ was the last central bank to retain a negative rate policy. Its prolonged use cut into banks' profitability and helped push down the value of the yen as...,18 Mar 2024
Will the Bank of Japan finally raise interest rates?,Financial Times,"The rate decision is likely to be a close call, with UBS expecting the BoJ to keep policy on hold until April. Despite the robust outcome of the wage...",17 Mar 2024
"BOJ to end negative rates, marking 1st hike in 17 years",Nikkei Asia,"TOKYO -- The Bank of Japan is expected to end its negative interest rates when its policy board meets on Monday and Tuesday, Nikkei has learned, marki.",16 Mar 2024
Japan’s $4 Trillion Offshore Funds Will Ignore First BOJ Hike,Bloomberg,"Japanese money is poised to stay offshore as the central bank creeps toward tighter policy, according to the latest Bloomberg Markets Live Pulse survey.",16 Mar 2024
Japan’s interest rate derivatives trading and clearing on the rise,Risk.net,"The Osaka Exchange (OSE), part of JPX, is a premier venue for listed interest rate derivatives trading in Japan, featuring flagship products.",14 Mar 2024
"In Japan, rate rises herald a new era for financial markets",朝日新聞,"SINGAPORE--Barely weeks after Japanese stocks broke three-decade highs, the country's financial markets are hurtling toward another phenomenon not seen for...",13 Mar 2024
These Will Be the Winners and Losers When Bank of Japan Ditches Negative Rates,Bloomberg.com,The Bank of Japan's steady march toward raising interest rates for the first time since 2007 begs the question of who will win and who will lose after years...,13 Mar 2024
BlueBay’s Biggest Macro Bet Is Shorting Japan Government Bonds,Bloomberg,RBC BlueBay Asset Management has made selling Japanese government bonds a top wager on expectations the central bank is likely to raise interest rates next...,12 Mar 2024
"Japan’s Daishi Hokuetsu Bank faces weak profits, high interest rate risks: Moody’s",Asian Banking & Finance,"Japan's Daishi Hokuetsu Bank faces weak profits, high interest rate risks: Moody's. Its problem loan ratio deteriorated to 2.23% in a three-year period. Daishi...",11 Mar 2024
World’s Last Negative Rate Experiment Nears Its End in Japan,Bloomberg,"The Bank of Japan is widely expected to scrap the world's last negative interest rate in the coming weeks, marking the closing act of global central banks'...",10 Mar 2024
How high will borrowing costs go once Bank of Japan ditches negative rates?,Financial Times,Policymakers at the Bank of Japan are tackling a series of thorny policy debates as they confront the practicalities of raising interest rates for the first...,10 Mar 2024
Why and How Poverty in Japan is Concealed,The Borgen Project,"Modern Japanese poverty is often attributed to the “Lost Decade,” a period from 1991 to 2001 caused by a heightened Bank of Japan interest rate.",28 Feb 2024
The Bank of Japan’s Year of Living Dangerously,The Diplomat – Asia-Pacific Current Affairs Magazine,Global investors are convinced 2024 will be the year the Bank of Japan (BOJ) finally “normalizes” policy and hikes interest rates above zero.,20 Feb 2024
What would a green dual interest rate environment look like?,Green Central Banking,The European Central Bank (ECB) has been resisting calls for a dual interest rate for green lending but the tide could be turning after French president...,15 Feb 2024
Japan slipped into a technical recession. The Bank of Japan has to juggle supporting the yen and fragile growth,CNBC,"Japan's central bank is expected to exit its negative interest rate regime this spring, though sluggish growth will limit its ability to alleviate depreciation...",15 Feb 2024
Japan’s economy contracts for second straight quarter on weak demand,Financial Times,Negative GDP growth piles pressure on Bank of Japan as it plans exit from negative rates.,14 Feb 2024
Japan's stock markets are on a tear. Will 'zombie’ firms threaten the bull run?,CNBC,"As interest rates rise, there are concerns that zombie companies will be at greater risk of bankruptcy and bailouts, which could lead to a broader economic...",8 Feb 2024
Japan real estate loses shine with foreign investors,Nikkei Asia,"TOKYO -- Speculation of a Japanese interest rate hike is discouraging foreign funds and businesses from investing in the country's real estate, bringi.",6 Feb 2024
'Golden opportunity': BOJ signals rate hike ahead with ramped-up exit talk,The Japan Times,The Bank of Japan's summary of last week's meeting signals it is moving closer to raising its interest rate for the first time since 2007.,31 Jan 2024
The Once Feared Strong Yen Is Now in Japan’s National Interest: A 50 Year History of the Floating Exchange Rate Regime,nippon.com,The present year marks the fiftieth year since a floating rate regime was adopted for the Japanese yen. The “lost decades” since the collapse of an asset...,30 Jan 2024
"Japan’s Benchmark 10-Year Bond Yield May Surge to 2% This Year, Eurizon’s Jen Says",Bloomberg,"The Bank of Japan will exit its ultra-loose monetary policy once the Federal Reserve begins lowering interest rates, resulting in yen gains and higher...",28 Jan 2024
What makes Japan’s economy the odd man out?,Marketplace.org,"In an effort to stimulate a sluggish economy, the government got creative and started applying negative interest rates.",26 Jan 2024
Japan's bond interest bill seen growing 60% to $103bn in fiscal 2027,Nikkei Asia,"TOKYO -- Interest payments on Japanese government bonds could swell to 15.3 trillion yen ($103 billion) in fiscal 2027, a roughly 60% increase from th.",23 Jan 2024
Japan's Bull Market Is Still Charging Ahead of BOJ Interest Rates Move,Bloomberg,Japan's Bull Market Is Still Charging Ahead ... The central bank is keeping everyone guessing.,23 Jan 2024
FIGURE 4: Yield curve -Japan government bonds' interest rates (average...,ResearchGate,"Download scientific diagram | Yield curve -Japan government bonds' interest rates (average in Dec 2015, June 2016 and Dec 2016) from publication: Japan's...",20 Jan 2024
Zombie Firms in Japan on Rise as BOJ Paves Way for Rate Hike,Bloomberg,"One in six Japanese companies have become “zombie” firms unable to keep up with debt payments from profits alone, putting them in a vulnerable position...",18 Jan 2024
It’s Exciting to Be a Trader in Japan Again,Bloomberg,It's exciting to be a trader in Japan again. The Japanese central bank is widely expected to put an end to the world's last negative interest rate in the next...,17 Jan 2024
"Japan economic outlook, January 2024",Deloitte,Japan's recovery is struggling to gain momentum. Real GDP contracted in the third quarter as inflation eroded purchasing power.,17 Jan 2024
Japan’s Market Roars Back to Life—With Old-Timers Leading the Way,Bloomberg,"After decades of setting its benchmark rate near zero, the BOJ is poised to tighten, spurring new opportunities for veteran traders.",16 Jan 2024
Japan Post Bank announces 1st time deposit rate hike in 16 years,ARAB NEWS,Japan Post Bank has said it will raise its five-year deposit rate from the current 0.002 percent to 0.070 percent on Monday.,13 Jan 2024
A force for good: Japan’s private equity opportunity,McKinsey & Company,"Japanese private equity is a growing presence in the financial landscape, and private equity firms can help Japanese companies fulfill their potential.",4 Jan 2024
Inflation and its demons define Japan’s precarious 2023,East Asia Forum,"In 2023, Japan's economy experienced inflation, exchange rate fluctuations and contentious policies implemented by Kishida's government and the Bank of Japan.",4 Jan 2024
Japan's quest for economic and political stability in 2024,East Asia Forum,"For the past quarter of a century Japan has enjoyed stability. Perhaps too much stability: for more than two decades, prices, wages and interest rates have...",1 Jan 2024
Odds of early rate rise increase as inflation becomes the fight in Japan,The Japan Times,"Sticky inflation might convince the Bank of Japan to lean hawkish and increase rates earlier than expected. “An important factor is food inflation,” said...",28 Feb 2025
Will China’s economy follow the same path as Japan’s?,Bruegel,"Since the 2021 bursting of its real-estate bubble, worries have grown that China's future economic trajectory will mirror that of Japan in the 1990s.",27 Feb 2025
Bank of Japan will raise rates twice more in 2025,Financial Times,The “virtuous cycle” between price and wage increases looks to be well under way in Japan. Given strong recent inflation and wage data and continued yen...,27 Feb 2025
"Japan's top currency diplomat sees no disparity between yen rise, solid economy",Reuters,"Japan's top currency diplomat, Atsushi Mimura, said on Wednesday he did not see any disparity between recent rises in the yen and a slew of positive...",26 Feb 2025
What the return of interest rates means for Japan,Nikko Asset Management,"We assess the impact the return of interest rates could have on the country's households, firms and government.",26 Feb 2025
Top Japan Finance Official Says No Issue With Market View on BOJ,Bloomberg,"Japan's top currency official on Wednesday indicated he had no issue with growing market expectations over Bank of Japan interest-rate hikes, which this...",26 Feb 2025
"Yen Hits Four-Month High on Haven Demand, Bets on Rate Hike",Bloomberg,The yen rose to its strongest level in more than four months as global risk-off sentiment and expectations of more interest-rate hikes from the Bank of Japan...,25 Feb 2025
Japan's Inflation Pressures Signal Major Interest Rate Changes,Finimize,"Japan's service-sector inflation hit 3.1% in January, placing pressure on the central bank to consider more rate hikes to control rising costs.",25 Feb 2025
Japan economic news: Japan inflation rate climbed to 4%,Markets.com,"Japan's inflation rate has surged to 4%, marking a significant increase and raising concerns among policymakers and investors alike.",23 Feb 2025
Japanese Banks Raising Savings Account Interest Rates; Financial Institutions Seek New Ways to Lure Clients,The Japan News,Japanese banks are now raising the interest rates on their savings accounts in an increasingly heated competition for business.,23 Feb 2025
Yen Strengthens Against the Dollar as U.S. Economic Concerns Weigh on Markets; Interest Rate Cut Expectations Drive Investors to Sell Dollars and Buy Yen,The Japan News,NEW YORK — The New York market saw a stronger yen and declining stock prices on Friday due to concerns over the future of the U.S. economy.,22 Feb 2025
"BOJ could raise interest rates in March, says ex-policymaker Shirai",Reuters,The Bank of Japan may raise interest rates in March if U.S. President Donald Trump pushes through on his tariff threats and adds to already mounting...,21 Feb 2025
Bank Of Japan Signals Flexibility In Interest Rate Strategy,Finimize,The central bank's earlier decision to increase short-term rates to 0.5% and its tapering forecast—hitting 3 trillion yen monthly by 2026—are pivotal. Analysts...,21 Feb 2025
"Exclusive: Almost 90% of Japanese companies see Trump as bad for business, Reuters survey shows",Reuters,Summary; Companies. Some 86% of firms see Trump's policies as harmful to business environment - Reuters Japan Corporate Survey; Respondents see Trump...,20 Feb 2025
Investors eye Japan bank stocks amid expectations of BOJ rate hike,Mettis Global,Japanese bank shares have become highly popular with investors betting on rising Bank of Japan interest rates as uncertainty over the central bank's plans.,20 Feb 2025
Japan's long rates hit 15-year high as domestic inflation kicks in,Nikkei Asia,"Interest rates in Japan are climbing, reaching a roughly 15-year high on Tuesday, as rising inflation heightens expectations for another rate hike by the Bank...",19 Feb 2025
"This Week: Bank of Japan interest rate decision, USDJPY in focus",Alpari,"USDJPY is forecasted to be the most volatile major FX pair this week, with 153.2 – 158.7 forecasted to be the likeliest trading range.",19 Feb 2025
Japan’s Historic Rate Shift Is Turbo-Charging the Credit Market,Bloomberg.com,"Japan's corporate bond market is booming, as an economic rebound and plans to get ahead of higher interest rates encourage a flurry of issuance.",18 Feb 2025
Japan’s historic rate shift is turbo-charging the credit market,The Japan Times,Japan's corporate bond market is booming as an economic rebound and plans to get ahead of higher interest rates encourage a flurry of issuance.,18 Feb 2025
Bank of Japan Must Weigh Trump Trade Threats as it Tightens Policy,MSN,"The Bank of Japan kicked off a global market selloff last time it raised interest rates. The likely rate increase this week will be less dramatic,...",17 Feb 2025
"Japan’s Economic Growth Outpaces Expectations, Boosts Interest Rate Prospects",kaohoon international,"The gross domestic product (GDP) for October-December increased by an annualized rate of 2.8%, surpassing the 1.0% growth forecasted in a Reuters poll.",17 Feb 2025
Japan braces for BOJ to lift rates sooner and higher,Reuters,"Hawkish comments from the Bank of Japan and sticky inflation are lifting bond yields to multi-year highs and pushing forward rate hike expectations,...",16 Feb 2025
Bank of Japan is set to navigate against global monetary trends: QNB,The Peninsula Qatar,"QNB expected the Bank of Japan to continue its gradual process of interest rate normalization, with two additional 25 bp hikes this year.",15 Feb 2025
Yen starts recovering amid mounting inflationary pressures in Japan,Economies.com,"The Japanese yen rose in Asian trade on Thursday against a basket of major rivals, recovering from a two-week trough against the dollar and on track for the...",13 Feb 2025
"Japan's inflation hits 4.2%, rising for 5th consecutive month, pushing BOJ to raise interest rates",วารสารการเงินธนาคาร,"Japan's inflation hits 4.2%, rising for 5th consecutive month, pushing BOJ to raise interest rates ... On February 13, 2568, Reuters news agency reported that...",13 Feb 2025
"Most economists expect BOJ to hike rates in latter half of 2025, survey shows",Reuters,"Most economists expect the Bank of Japan to raise short-term interest rates again in the latter half of this year, a monthly survey on economists conducted...",13 Feb 2025
"Japan's wholesale inflation jumps, reinforcing BOJ rate-hike bets",Reuters,The data highlighted persistent price pressures and reinforced market bets of another interest rate hike this year.,12 Feb 2025
Japan's government debt climbs to record ¥1.32 quadrillion,The Japan Times,"The combined balance of Japanese government bonds, borrowings and financing bills swelled by ¥7.2 trillion from the end of September 2024.",10 Feb 2025
Japan’s borrowing costs soar to 14-year high,Financial Times,"Japan's borrowing costs have soared to a 14-year high as rising interest rates, sustained inflation and a potential wave of wage increases this spring fuel a...",8 Feb 2025
IMF warns Japan of spillovers from rising foreign market volatility,Reuters,"Japan's debt-servicing cost to double by 2030, IMF says; IMF welcomes Japan's commitment to flexible exchange rates; BOJ must closely monitor liquidity...",7 Feb 2025
Yen’s weekly surge underscores growing case for a hawkish BOJ,The Japan Times,The yen is on track for its fourth straight weekly gain against the dollar as spending data on Friday added to signs that the Bank of Japan will raise interest...,7 Feb 2025
VOX POPULI: Adjusting to the new normal: A world with interest rates,朝日新聞,Will the future be bright or dim for the “world with interest rates” that is said to be taking shape now? After scrapping its negative interest rate policy...,7 Feb 2025
BOJ’s Tamura says interest rate needs to rise to at least 1%,The Japan Times,BOJ's Tamura says interest rate needs to rise to at least 1%.,6 Feb 2025
Japan’s lenders have turned the corner,Financial Times,"Early results already look compelling, and the outlook remains strong given the prospect for more interest rate rises.",5 Feb 2025
More rate hikes discussed at BOJ meeting after increase to 17-yr high,Kyodo News Plus,"The need for further interest rate hikes was discussed at the most recent Bank of Japan monetary policy meeting, with a board member pointing to the...",3 Feb 2025
How Negative Interest Rates Work,Investopedia,"The idea of negative interest rates may seem counterintuitive, if not downright crazy. In a world where lenders make money by charging their customers...",3 Feb 2025
Monetary Policy Adjustment in Japan: Bank of Japan Raises Interest Rates to 17-Year High Amid Inflation Pressures,Modern Ghana,"The Bank of Japan (BOJ) raised its short-term policy rate to approximately 0.5%, marking its highest level in 17 years, since the 2008 global financial crisis.",1 Feb 2025
Bank of Japan could face capital losses if interest rate rise to 1%: Nomura,"YouTube
 · CNBC International Live",Nomura's Rob Subbaraman discusses expectations of Bank of Japan's rate hike path including two major risks if the central bank hikes too fast or too far.,31 Jan 2025
"Japan’s Underlying Inflation Still Slightly Below Target, BOJ Governor Says",The Wall Street Journal,Ueda reaffirmed that the central bank will keep raising interest rates if the economy and prices develop in line with its outlook.,31 Jan 2025
Sumitomo Mitsui profit beats estimates as rate hikes bolster earnings,The Japan Times,"Sumitomo Mitsui Financial Group's profit rose more than analysts estimated in the fiscal third quarter, as the Bank of Japan's interest rate hikes put it on...",30 Jan 2025
Japan’s government interest costs to swell more than 50% in next few years,The Business Times,"JAPAN'S annual interest payments on government debt could surge more than 50 per cent over the next few years, government estimates showed on Thursday (Jan...",30 Jan 2025
Japan sees debt-service costs jumping 25% by 2028 as BOJ hikes,The Japan Times,The latest projection underscores the growing financial strain Japan will likely face amid anticipated additional rate hikes by the central bank.,30 Jan 2025
"Tokyo Inflation, Japan Activity Data Back More BOJ Rate Hikes",The Wall Street Journal,"Consumer inflation in Tokyo, considered an early indicator of nationwide trends, sped up slightly in January, government data showed Friday.",30 Jan 2025
Could the Bank of Japan Continue to Tighten in 2025? | Presented by CME Group,"YouTube
 · Bloomberg Television","A sequence of rate hikes, beginning in March 2024, has lifted Japan's key interest rate to its highest level since 2008, and ended the eight years of...",29 Jan 2025
BoJ Interest Rate Hikes Should Not Disrupt Economic Recovery,JAPAN Forward,"BoJ has raised interest rates to their highest level in 17 years. Hopefully, the bank's implementation of policies will be detailed and prudent.",29 Jan 2025
Japan begins feeling the pain of BOJ rate hikes more concretely,The Japan Times,"Japan is feeling the impact from higher interest rates on a more personal level, according to an analysis of social media activity.",29 Jan 2025
The Bank of Japan’s communication challenges,The Japan Times,"Despite limited developments that would justify a policy shift since December, Japan's central bank nevertheless went ahead to raise interest rates.",28 Jan 2025
Bank of Japan raises interest rates to 0.5%,Portfolio Adviser,"Bank of Japan raises interest rates to 0.5% ... Cherry blossoms at Chidorigafuchi park in Tokyo, Japan. ... The Bank of Japan (BoJ) has hiked interest rates to 0.5%...",27 Jan 2025
Japan ready to join ‘global club of normalised monetary policy’,Fund Selector Asia,"The Bank of Japan hiked interest rates to their highest level in 17 years on Friday, but investors reckon the outlook for equities is benign.",27 Jan 2025
Japan Raises Interest Rates To 17-Year High – Reactions,Wealth Briefing,"The Bank of Japan (BoJ) increased short-term interest rates to 0.5 per cent, elevating its policy rate to the highest level since 2008.",27 Jan 2025
Japan Raises Interest Rates To 17-Year High – Reactions,Wealth Briefing,"The Bank of Japan (BoJ) increased short-term interest rates to 0.5 per cent, elevating its policy rate to the highest level since 2008.",27 Jan 2025
Bank of Japan Raises Key Interest Rate to 0.5% | Governor Ueda's Economic Outlook | News9,"YouTube
 · NEWS9 Live","The Bank of Japan has raised its key interest rate to 0.5% from 0.25%. Bank of Japan Governor Kazuo Ueda, speaking after a two-day policy meeting,...",27 Jan 2025
Charting the global economy: Bank of Japan raises interest rates,The Economic Times,"The Bank of Japan raised its key policy rate to 0.5%, the highest since 2008, signaling stronger inflation. The rate hike reflects the central bank's confidence...",26 Jan 2025
Bank of Japan Hikes Rates To Highest Since 2008,Realty Plus Magazine,the Bank of Japan (BOJ) has raised its benchmark interest rate by 25 basis points—marking the first time rates have reached this level since the global...,26 Jan 2025
Charting the Global Economy: Bank of Japan Raises Interest Rates,Bloomberg,BOJ Governor Kazuo Ueda and his fellow board members lifted the overnight call rate by a quarter-percentage point to 0.5% at the end of a two-day meeting. A...,25 Jan 2025
Central bank appears poised to break through 0.5% rate barrier this year,The Japan Times,"The Bank of Japan is on course to raise rates past the 0.5% barrier, unbroken for almost 30 years, if policymakers become confident that the country will...",25 Jan 2025
BOJ rate hikes add $50 to Japan's average monthly mortgage payment,Nikkei Asia,"TOKYO -- The Bank of Japan's two most recent interest rate hikes add roughly 8000 yen ($51) to the average monthly mortgage payment in the country, N.",25 Jan 2025
FOCUS: BOJ on complex path to more rate hikes amid flagging economy,Kyodo News Plus,"Further deliberations are expected to be required for the Bank of Japan to explore future interest rate hikes, with its key policy rate having approached...",25 Jan 2025
Market Talk: BOJ's rate hike allows them to cut in the future | REUTERS,"YouTube
 · Reuters",The Bank of Japan raised interest rates but the CEBR's Vicky Pryce told Reuters that the hike was partly to create space to cut them in the future #News...,24 Jan 2025
Japan hikes interest rates to 17-year high | East Asia Tonight (Jan 24),"YouTube
 · CNA","Also on East Asia Tonight, China emphasises no winners in trade war as Trump says would 'rather not' impose tariffs; Japan PM Shigeru Ishiba stresses...",24 Jan 2025
"There's still room for the Bank of Japan to hike rates, says strategist","YouTube
 · CNBC International Live","Masahiko Loo, senior fixed income strategist at State Street Global Advisors, says there could be an interest rate hike in September.",24 Jan 2025
